"screen_name","urls_t.co","text","quoted_retweet_count","hashtags","mentions_screen_name"
"prefeituradebc","https://twitter.com/user/status/1273634105624846336","<U+0001F637>TESTAGEM DOS IDOSOS<U+0001F637>  Ligaremos a todos os idosos de BC para identificar se eles estão com algum sintoma da Covid-19 e agendar a testagem. O tratamento iniciará imediatamente para quem estiver sintomático, evitando a proliferação da doença  Saiba Mais: https://t.co/bSbJ1kAmoH https://t.co/owPAwMrEsF",0,"[]","[]"
"BradCasMello","https://twitter.com/user/status/1273634085345415176","@MarinaSilva PQP.... Ver Marina Silva prestar solidariedade à uma cara que morreu vítima da Covid, sendo que esse cara já tinha sido condenado por estupro é surreal.... Me desculpe, mas vou falar: ""Ver a Marina defende-lo é  o mesmo que a estuprada defendendo o estuprador!""",1,"[]","[]"
"gppoliticapr","https://twitter.com/user/status/1273634084971937797","Pesquisa revela o impacto da pandemia nos pequenos negócios no Paraná https://t.co/wJNDKapuoc",0,"[]","[]"
"jornaldaclube","https://twitter.com/user/status/1273634081939566592","Primeira paciente com Covid-19 recebe alta em Miguelópolis - Jornal da C... https://t.co/fVxeDYz8hp via @YouTube",0,"[]","[]"
"jacksonrangel","https://twitter.com/user/status/1273634071847919616","Camarotes do Sambão do Povo vão abrigar pacientes com Covid-19 em Vitória https://t.co/3T0Govkvcd https://t.co/FPsSkKMULm",0,"[]","[]"
"folhadoes","https://twitter.com/user/status/1273634071470620673","Camarotes do Sambão do Povo vão abrigar pacientes com Covid-19 em Vitória https://t.co/RSwCkezsTV https://t.co/aM7YMuKkvi",0,"[]","[]"
"rcorrei","https://twitter.com/user/status/1273634060817096705","@AlfredoMenezes6 Queiroz Index cruzando o Covid Oscillator",0,"[]","[]"
"fraanhoffmann","https://twitter.com/user/status/1273634050150989826","agora que o Queiroz foi preso vcs acham que ele morre repentinamente de ""covid-19"" ou ""suicídio""???  pq o fim dessas peças do tabuleiro fascista infelizmente a gente já conhece né",0,"[]","[]"
"carollgregoryy","https://twitter.com/user/status/1273634046220873729","esse ano eu finalmente faria 18 anos em uma SEXTA FEIRA não dava pra ser mais perfeito porém chegou o COVID e estragou tudo<U+0001F921>",0,"[]","[]"
"nortedenoticias","https://twitter.com/user/status/1273634026734092289","OMS espera produção de doses de vacina ainda neste ano https://t.co/w4PJKkLYVY",0,"[]","[]"
"FaustoSalvadori","https://twitter.com/user/status/1273634026625077248","Todo mundo no #Queiroz, mas lançamos uma série sobre violência contra mulher na pandemia que também vale atenção, feita por uma parceria entre @amazonia_real, @NordesteEco, @colaboraprojeto, @CatarinasPortal e @pontejornalismo (praticamente os Vingadores): https://t.co/WEMRUhbTw7 https://t.co/GR8kRMTqxw",1,"['Queiroz']","['Queiroz']"
"cefestellita1","https://twitter.com/user/status/1273633989094510592","cassachapa. salvar pessoas da covid-19. guedes produz catástrofe econômica delongando e escoltando migrações do grande capital.",0,"[]","[]"
"igor7moraes","https://twitter.com/user/status/1273633979900538880","Terça-feira também: Eficácia da dexametasona no tratamento da COVID-19. https://t.co/PUTIlRAJ8T",0,"[]","[]"
"Runan_1","https://twitter.com/user/status/1273633972384342017","E a repórter que foi fazer o exame ao vivo do Covid-19 Ao Vivo e quando saiu o resultado tinha dado positivo? HAHAHAHAHAHAHAH",0,"[]","[]"
"regissjc","https://twitter.com/user/status/1273633970811555843","Aí @DaniloGentili QUANDO o @LorenzonItalo pegar o Covid-19 JÁ TEM respirador SOB MEDIDA <U+0001F923> https://t.co/1BVsezTLQS https://t.co/m1PMxqzr5c",1,"[]","[]"
"skyhunting","https://twitter.com/user/status/1273633943112335361","Oxímetro, aliado útil para alertar de la mortal hipoxia silenciosa por Covid-19 https://t.co/46HNEjGKWh",0,"[]","[]"
"san_somar","https://twitter.com/user/status/1273633931104079873","@Carolina_Bahia Verdade! Fato! Só olhar os jornalistas hj estão em frenesi com essa notícia, covid? Já era. Nunca se deu tanta importância à uma rachadinha do RJ....até aqui não existe coisa melhor pra noticiar...mas vamos ver no da....1 ano e meio falando nisso, deve ser coisa grande.",0,"[]","[]"
"Diessinhaah","https://twitter.com/user/status/1273633928688144388","Meu amigo você foi Guerreiro sabe disso iremos sentir tanta sua falta <U+0001F494> vai com Deus<U+0001F614><U+0001F62D><U+0001F62D>não sei oque dizer ,mas você  era tão especial para gente você,você nunca viu maldades nas pessoas de tão bom que você era  Você infelizmente não resistiu a COVID mas você já é um vencedor https://t.co/ybm0WYwLft",0,"[]","[]"
"maiscatolicismo","https://twitter.com/user/status/1273633919678717953","RT agenciaecclesia: Covid-19/crise: «É preciso deixar ideologias, esta é a hora de todos colaborarem» – Eugénio Fonseca https://t.co/d0n05o5ywG",1,"[]","[]"
"thekatylasy","https://twitter.com/user/status/1273633918911217665","Meu vizinho lindissimo tava dando churrasco ate 2 semanas atrás   E agora ta a família toda com covid  Inclusive o sobrinho cadeirante com doença crônica   Parabéns viu",0,"[]","[]"
"OidaLari","https://twitter.com/user/status/1273633894294794240","Meu Deus KKKKKKKKKKKKKKKKK  https://t.co/bsQVxr13Nh",0,"[]","[]"
"dowglass_","https://twitter.com/user/status/1273633894072561665","@cadu_btz e o que tem demais? partida sem público e vai ser testado o covid em todo mundo.",0,"[]","[]"
"MiltonS28076806","https://twitter.com/user/status/1273633877488263173","Muito interessante a prisão do Queiroz ser tão comemorada, enquanto continuam soltando criminosos por conta da covid-19, sem nenhum comentário nas redes abertas ou fechadas de TV.",0,"[]","[]"
"AnibalMotion","https://twitter.com/user/status/1273633866889265154","@IvannescaA @DCM_online Ensinem pra ele tarantela foi inventada pra curar veneno de tarântula vai que funciona com covid",0,"[]","[]"
"RETS_EPSJV","https://twitter.com/user/status/1273633863403810817","https://t.co/oRCRw5Dxro Covid-19: Sobe o número de mortos em África",0,"[]","[]"
"RomaNewsOficial","https://twitter.com/user/status/1273633856793518081","OMS espera produção de milhões de doses de vacina contra covid-19 até o fim do ano https://t.co/EMo7K2vQhc",0,"[]","[]"
"_giguimaraes2","https://twitter.com/user/status/1273633855036145666","Tem horas q eu fico meio chocada que eu tive covid fiquei em estado crítico e eu estou viva",0,"[]","[]"
"glinlos","https://twitter.com/user/status/1273633851475144706","https://t.co/pWqwGjBrc4 Convidamos você para participar da pesquisa ""IMPACTO SOCIAL DO CONFINAMENTO PELA PANDEMIA DE CORONAVÍRUS - COVID-19 NA AMÉRICA LATINA - BRASIL"", coordenada no Brasil por Pesquisadores da FIOCRUZ Brasília.",0,"[]","[]"
"lipelucaz","https://twitter.com/user/status/1273633830340046848","@vitoriaalcz Covid-19 também não está funcionando",0,"[]","[]"
"brunoconstan","https://twitter.com/user/status/1273633823130083332","vou ser obrigado fazer o teste do covid que enfiam o cotonete no cérebro https://t.co/jZqoXe78lS",0,"[]","[]"
"desacatobrasil","https://twitter.com/user/status/1273633793732218880","Chile supera 220 mil pessoas com COVID-19 e ingressa na lista de dez países com mais casos https://t.co/cMtE1uJPyi",0,"[]","[]"
"bel__sousa","https://twitter.com/user/status/1273633790628450309","Eu tô ficando assustada com o que eu ando escutando sobre assistência médica aos pacientes e suspeitos de covid aqui em Silvânia",0,"[]","[]"
"personalsamba","https://twitter.com/user/status/1273633780859797504","Boa tarde Fábio William, infelizmente, pessoas influenciadoras que deveriam dar o bom exemplo usando máscaras, faz exatamente ao contrario, desafiando o protocolo e a letalidade do COVID 19",0,"[]","[]"
"AkiraNG","https://twitter.com/user/status/1273633772639080449","Queiroz vai morrer do que? Covid?",0,"[]","[]"
"Drreis6","https://twitter.com/user/status/1273633752544153600","@joicehasselmann @jairbolsonaro Vc é BURRA demais né, FISCALIZAR sua idiota......ignorante.....estamos aguardando seu exame do covid para confirmar porque está mais para uma jogada sua é ganhar tempo.....",0,"[]","[]"
"leeh_250705","https://twitter.com/user/status/1273633740426817536","Não existe povo mais chato doq esses que te mandam coisas sobre o covid no wpp, misericórdia vai carpir um lote",0,"[]","[]"
"filippemaia","https://twitter.com/user/status/1273633739365650433","@LorenzonItalo Recado do seu amigo pra quem perdeu alguem pra covid, serve pra vc tbm! https://t.co/XBTv7YyJbS",0,"[]","[]"
"camiscichetto","https://twitter.com/user/status/1273633704867500034","Meu exame de covid deu negativo, reino do senhor 1 x 0 vírus do demônio",0,"[]","[]"
"eu_darla","https://twitter.com/user/status/1273633700799012865","Esses são os Bolsonaristas do bem fazendo chacota desse vírus maldito. O gordinho do vídeo perdeu um familiar por covid ontem... não façam piada com coisa grave, pois Deus tudo vê. https://t.co/k53sqKFCtv https://t.co/zbl4OzIith",0,"[]","[]"
"caiobabs","https://twitter.com/user/status/1273633698542485505","gente se cuidem de verdade, evitem de sair pra rolezinho desnecessário, usem máscara e tudo que for preciso. infelizmente minha mãe testou positivo pro covid",0,"[]","[]"
"alinegrapp_","https://twitter.com/user/status/1273633696285896705","@vmirandaa_ Deixa essa pro Covid",0,"[]","[]"
"andrecarvalhoTT","https://twitter.com/user/status/1273633680678928386","Mais 42 casos confirmados de Covid-19, totalizando 773. Os números são do dia 14.",0,"[]","[]"
"detrizk","https://twitter.com/user/status/1273633678359437312","um muleke do grupo falou assim: ""eu prefiro pegar covid na aula presencial do que aula online"" ai uma menina respondeu ""difícil fazer o vestibular morto"" KKKKKKKKKK pesado",0,"[]","[]"
"rafadepaula23","https://twitter.com/user/status/1273633677751324672","Eu jurei q iria pra qualquer praia nas minhas Férias cá estou eu me preparando pra ficar trancada em casa longe de covid",0,"[]","[]"
"BNaielen","https://twitter.com/user/status/1273633672219025408","Meu pai, me ajuda a não pegar COVID-19 pelo amor de Deus. <U+0001F62D>",0,"[]","[]"
"OuieisJulinda","https://twitter.com/user/status/1273633653822816263","eu fiquei com dó, deve ser mto triste perder alguém q cê ama.  https://t.co/P90axwCa3j",0,"[]","[]"
"whatzgwen","https://twitter.com/user/status/1273633639817936896","A máscara serve tanto pra evitar propagação de covid quanto pra privilegiar a pessoa feia nos espaços sociais",0,"[]","[]"
"janinicom_i","https://twitter.com/user/status/1273633629764288512","@Prisfala Amiga, te entendo!! O tempo deu uma mudada ontem e eu já fiquei entupida, como sempre fico, mas foi o suficiente pra já achar que tava com covid. Todo dia uma coisinha e eu já fico pensando essas coisas.. Esse terror psicológico é a pior coisa pra mim :(",0,"[]","[]"
"Brarrily","https://twitter.com/user/status/1273633621845381121","1 pessoa a cada 7 minutos recebe a notícia que está contaminado com Covid na minha cidade, E OS FILHA DA PUTA CONTINUA FAZENDO FESTA, VÃO SE F*DER",0,"[]","[]"
"Tvrs_s","https://twitter.com/user/status/1273633618703912960","@itstefg se tu morrer é covid.",0,"[]","[]"
"igoreto_","https://twitter.com/user/status/1273633609828765696","A macrorregião de saúde Centro, onde está Belo Horizonte, tem apresentado índices preocupantes de Covid-19. Se puder, fique em casa. https://t.co/IKqwPRSLFa",1,"[]","[]"
"isabelaabalen","https://twitter.com/user/status/1273633607102476288","falta pouco pra chegarmos a 1 milhão de casos de Covid-19, isso só nos dados oficiais né. Se juntar o não notificado com o notificado como síndrome respiratória...",0,"[]","[]"
"mathcanil","https://twitter.com/user/status/1273633605265301508","Ao vivo, jornalista da Record TV testa positivo para a Covid-19 https://t.co/85XEkERCNX  #RecordTV #NDTV #Coronavírus",1,"['RecordTV', 'NDTV', 'Coronavírus']","['RecordTV', 'NDTV', 'Coronavírus']"
"depredro","https://twitter.com/user/status/1273633601465257985","Das 2.395 pessoas que fizeram o teste pra covid no mutirão do arena das dunas 565 testaram positivo",0,"[]","[]"
"esperanca2020","https://twitter.com/user/status/1273633600756383744","@MaschioRS @samiabomfim Foto linda essa, só faltou o verde covid pra ficar perfeita #ContaTudoQueiroz",0,"['ContaTudoQueiroz']","['ContaTudoQueiroz']"
"CarlosHW4","https://twitter.com/user/status/1273633596310540288","Parabéns STF ! Se vcs tivessem a agilidade q tem para votar o q convém a vcs e não ao povo, com esquemas de corrupção q matam muito mais q Covid !!! Vcs são a vergonha nacional e não estejam surpresos com o aumento do ódio em relação a vcs e seus familiares. Vcs não são inocentes https://t.co/babnBHCPbV",0,"[]","[]"
"loxoscelesi","https://twitter.com/user/status/1273633585904472064","Meu chefe bem pessimista em relação ao covid em MG viu",0,"[]","[]"
"ArgonEnergias","https://twitter.com/user/status/1273633569504727040","O setor de distribuição de energia elétrica foi acometido pelos efeitos do Covid-19, resultando em sobrecontratação de energia (adquirida dos geradores em excesso) das distribuidoras pela redução do consumo. Veja a solução da Aneel para mitigar os efeitos: https://t.co/bhuWM07Yzd https://t.co/x5v3bOvXIP",0,"[]","[]"
"ASPolitiki","https://twitter.com/user/status/1273633568103727104","@romarioqs1 @GeorgMarques A Covid-19 vai matá-lo kkk",0,"[]","[]"
"enfermagemufmg","https://twitter.com/user/status/1273633567206256643","Seminário online compartilha experiências sobre a metodologia Lean no contexto da pandemia da Covid-19. Saiba mais: https://t.co/eGENANMwO7",0,"[]","[]"
"leticiasbfr","https://twitter.com/user/status/1273633551209172994","@BATALGAZII1 @David_CRFla @jmb288 @SerieAdoBrasil Tu acha mesmo que título ESTADUAL é mais importante que todas as mortes no Brasil??? Desejo de coração que vc é sua família não façam parte das estatísticas de covid-19",0,"[]","[]"
"ohannaeumesma","https://twitter.com/user/status/1273633538362015746","@jliaf__ @hugooalmeida_ mas se Deus criou homem com inteligência e capacidade para fazer uma vacina Ele vai deixar a ciência agir. se alguém me disser q Deus curou uma pessoa do covid eu acredito tbm, mas acredito na ciência óbvio.",0,"[]","[]"
"guia_marcos","https://twitter.com/user/status/1273633534868099072","Mas, então... e o milagre português.  https://t.co/WurzvaajWd",0,"[]","[]"
"DadosFalam","https://twitter.com/user/status/1273633532020174849","Paulo Guedes seria o proximo? Já estão testanto os ""benefícios"": com coronga fase 2, Selic ZERO e dólar a R$ 7,00. @leandroruschel @villela206 https://t.co/Kf9NSNtnn9",0,"[]","[]"
"marlenemota7","https://twitter.com/user/status/1273633528484442118","Bolsonarista do Terça Livre que fez ""dancinha"" das mortes de covid-19 perde parente para o vírus e pede ""orações"" https://t.co/uaYHFyd9TO",0,"[]","[]"
"Fiescki","https://twitter.com/user/status/1273633520313864192","Com a saída do isolamento, me preocupar a morte do Queiroz por covid 9mm",1,"[]","[]"
